,actual,forecast,lower_95,upper_95
1594,46.07,46.25884431499586,14.216021977299704,78.30166665269202
1595,45.27,46.97981418412913,14.132860501996575,79.82676786626169
1596,46.21,45.88125463375962,12.310859675525968,79.45164959199326
1597,47.35,45.76115378310049,11.536604149292117,79.98570341690886
1598,51.31,46.38661843500514,11.567815544615641,81.20542132539464
1599,54.9,49.22222895053287,13.861264181348737,84.583193719717
1600,58.4,52.803632990644864,16.946037490079597,88.66122849121012
1601,59.93,59.44359656970467,23.129346916908254,95.75784622250109
1602,55.67,54.73013600424599,17.994473156683895,91.46579885180809
1603,50.25,49.12535034590619,11.999453447484157,86.25124724432823
1604,39.84,42.57290919733219,5.084454959434275,80.0613634352301
1605,39.93,39.92971359532383,2.1033443431318943,77.75608284751577
1606,38.7,36.72744725801149,-1.414834718350484,74.86972923437347
1607,32.5,33.07246184944656,-5.3660362745422105,71.51095997343533
1608,43.08,31.626856827430974,20.229371094859196,43.02434256000275
1609,40.9,29.737432588287447,13.541438064770595,45.9334271118043
1610,39.19,28.62706427298159,9.091079337689411,48.16304920827376
1611,39.78,28.05346112274911,5.930501682957747,50.17642056254047
1612,41.28,28.83603190553445,4.609354418906953,53.06270939216195
1613,45.54,31.22696912035035,5.23991273479265,57.214025505908054
1614,55.97,35.33526216651418,7.8466090248351215,62.823915308193236
1615,67.8,43.26589942899585,14.478343631941126,72.05345522605057
1616,84.43,47.613858446021936,17.6904889901506,77.53722790189327
1617,83.86,47.27949819780758,16.35416169271791,78.20483470289724
1618,82.44,47.09744605689907,15.281668687864034,78.91322342593409
1619,85.99,47.60675616018294,14.994586554913951,80.21892576545193
1620,84.71,46.55379613210151,13.225319246619868,79.88227301758315
1621,82.29,46.398929720089704,12.422892055068246,80.37496738511116
1622,78.62,47.225260413656514,12.661078655501598,81.78944217181143
1623,81.57,50.15733274742357,15.056661286539118,85.25800420830802
1624,89.68,53.77135340279978,18.179327991881266,89.3633788137183
1625,99.91,60.29283511430934,24.24907347275071,96.33659675586797
1626,84.62,55.59001400620856,19.129430543513728,92.05059746890339
1627,77.79,49.932269145185636,13.085745195335335,86.77879309503594
1628,65.2,43.44282795141732,6.237768095059764,80.64788780777488
1629,59.33,40.86460652420835,3.3254039913818403,78.40380905703486
1630,58.26,37.9681485688846,0.11657728660408395,75.81971985116512
1631,52.25,34.077485062040445,-4.066968045515374,72.22193816959626
1632,49.31,51.50027265507917,40.12623846916973,62.874306840988616
1633,47.38,49.01095394747148,32.835976205578135,65.18593168936482
1634,45.78,47.331639826278554,27.80827601096574,66.85500364159137
1635,44.51,46.33575259534271,24.213755720303016,68.45774947038241
1636,45.69,46.74939084775216,22.51007708355814,70.98870461194618
1637,50.33,48.91987429980492,22.90543461067272,74.9343139889371
1638,59.71,53.15538722152623,25.6239762131747,80.68679822987777
1639,79.56,61.12295887662517,32.2770024520675,89.96891530118285
1640,103.54,65.94170981385321,35.94428323097857,95.93913639672785
1641,107.8,65.13182567141592,34.11694400359657,96.14670733923528
1642,107.32,64.3656428365773,32.44513119463037,96.28615447852422
