valuetime,actual,forecast,lower_95,upper_95
2021-01-13 02:00:00,30.84,30.978560146504982,8.991433371849276,52.96568692116069
2021-01-13 03:00:00,31.68,31.955275009105332,7.839613733276121,56.07093628493455
2021-01-13 04:00:00,36.81,34.630177330371176,8.728264216683435,60.532090444058916
2021-01-13 05:00:00,41.87,39.01178882174031,11.581577793089728,66.44199985039089
2021-01-13 06:00:00,46.21,47.39899233763949,18.642635664403215,76.15534901087577
2021-01-13 07:00:00,56.14,52.42473120516895,22.505039920825226,82.34442248951268
2021-01-13 08:00:00,47.71,52.07435739955928,21.125122404524927,83.02359239459363
2021-01-13 09:00:00,46.23,51.82397341501344,19.95684502931976,83.69110180070712
2021-01-13 10:00:00,43.82,52.42664273036277,19.735935714193225,85.11734974653231
2021-01-13 11:00:00,41.22,51.242156846803475,17.80833214835856,84.67598154524839
2021-01-13 12:00:00,40.04,50.892369275397314,16.78463256711526,85.00010598367936
2021-01-13 13:00:00,39.47,51.43647966647736,16.71476809906997,86.15819123388475
2021-01-13 14:00:00,41.17,54.31964078402818,19.036172681255543,89.60310888680081
2021-01-13 15:00:00,45.91,58.08049433772598,22.28099842065521,93.87999025479675
2021-01-13 16:00:00,55.49,64.93775620065888,28.66246056270913,101.21305183860864
2021-01-13 17:00:00,54.51,60.28576491016521,23.57020242220416,97.00132739812626
2021-01-13 18:00:00,48.1,54.4393533936971,17.315024519505783,91.56368226788841
2021-01-13 19:00:00,47.14,47.968313581293614,10.463236838714693,85.47339032387254
2021-01-13 20:00:00,40.88,45.132158838452064,7.271331615906604,82.99298606099752
2021-01-13 21:00:00,40.02,42.26409518304985,4.069882241095819,80.45830812500387
2021-01-13 22:00:00,38.03,38.35683876886241,-0.15069816036126582,76.86437569808609
2021-01-13 23:00:00,37.3,37.35074865250339,26.23939993602691,48.46209736897987
2021-01-14 00:00:00,36.91,35.27227729595302,19.35807696921237,51.186477622693666
2021-01-14 01:00:00,36.98,34.090962297395656,14.835873025504245,53.34605156928707
2021-01-14 02:00:00,39.44,33.5008946197527,11.653329761480812,55.34845947802459
2021-01-14 03:00:00,42.16,34.289739040600494,10.328557231555834,58.250920849645155
2021-01-14 04:00:00,45.34,36.81127187082433,11.076321775515158,62.5462219661335
2021-01-14 05:00:00,58.6,41.02958404567504,13.776998417375314,68.28216967397476
